Date,Open,High,Low,Close,Adj Close,Volume
12/6/17,190.300003,190.529999,188.050003,190,180.09787,2730100
13/6/17,190.050003,191.559998,189.350006,191.089996,181.131042,1882700
14/6/17,191.050003,193.380005,190.820007,192.380005,182.353821,2210000
15/6/17,191.429993,195.550003,191.369995,195.449997,185.26384,2894100
16/6/17,196.009995,197.949997,195.809998,196.440002,186.202194,6939100
19/6/17,197.880005,199.470001,197,199.080002,188.704605,2726400
20/6/17,198.75,201.240005,198.309998,198.330002,187.993744,3077400
21/6/17,199.580002,199.710007,197.559998,199.169998,188.789917,3151100
22/6/17,199.25,200.410004,199.179993,199.440002,189.045868,3339300
23/6/17,199.259995,202.350006,198.679993,202.229996,191.69046,4310100
26/6/17,202.770004,204.389999,199.940002,199.979996,189.557739,3077600
27/6/17,199.800003,200.919998,198.889999,198.889999,188.524521,2296900
28/6/17,199.5,200.949997,199.300003,199.619995,189.216476,2096800
29/6/17,199.619995,199.759995,196.449997,197.460007,187.169083,2428900
30/6/17,198.5,199.440002,197.389999,197.75,187.443939,2225600
3/7/17,198.070007,199.440002,197.75,198.589996,188.240158,1511200
5/7/17,199.300003,202.139999,198.860001,201.809998,191.292328,2716700
6/7/17,201.639999,202.490005,200.779999,201.479996,190.979538,2737400
7/7/17,202.240005,203.279999,201.259995,202.369995,191.823166,3090400
10/7/17,202.320007,204.580002,202.190002,203.960007,193.330292,2701900
11/7/17,204,206.660004,204,206.270004,195.519913,2815800
12/7/17,206.949997,208.610001,206.320007,206.440002,195.68103,2817400
13/7/17,206.800003,207,205.350006,206.229996,195.481995,1943600
14/7/17,206.800003,208.729996,206.740005,208.509995,197.643158,3229000
17/7/17,208.729996,209.720001,208.559998,209,198.107635,2416000
18/7/17,209.110001,209.190002,207.529999,208.240005,197.387253,1942300
19/7/17,209.429993,210.929993,208.990005,210.880005,199.889618,2258400
20/7/17,211.100006,211.25,209.919998,210.279999,199.320908,2235100
21/7/17,209.990005,212.199997,209.410004,212.139999,201.084,2098400
24/7/17,212,212.639999,211.399994,212.179993,201.121887,2392700
25/7/17,213.220001,214,211.949997,212.460007,201.387299,2889000
26/7/17,223.479996,233.979996,223.020004,233.449997,221.283386,14140000
27/7/17,237.130005,242.679993,236.699997,241,228.439911,10860600
28/7/17,240.820007,242,238.550003,241.270004,228.695831,4602400
31/7/17,241.850006,246.490005,241.820007,242.460007,229.823807,5777300
1/8/17,243.380005,243.990005,239.160004,239.440002,226.961212,5018400
2/8/17,239.059998,241.559998,237.880005,237.949997,225.548843,5119900
3/8/17,237.059998,239.589996,236.039993,238.25,225.833221,5112700
